Lorsqu'il a demandé qui avait cassé la fenêtre, tous les garçons ont pris un air innocent.	When he asked who had broken the window, all the boys put on an air of innocence.
Je ne supporte pas ce type.	I can't abide that fellow.
Pour une fois dans ma vie je fais un bon geste... Et ça ne sert à rien.	For once in my life I'm doing a good deed... And it is useless.
Ne tenez aucun compte de ce qu'il dit.	Don't take any notice of what he says.
Essayons quelque chose !	Let's try something.
Qu'est-ce que tu fais ?	What are you doing?
Qu'est-ce que c'est ?	What is it?
Aujourd'hui nous sommes le 18 juin et c'est l'anniversaire de Muiriel !	Today is June 18th and it is Muiriel's birthday!
Joyeux anniversaire Muiriel !	Happy birthday, Muiriel!
Muiriel a 20 ans maintenant.	Muiriel is 20 now.
Le mot de passe est « Muiriel ».	"The password is ""Muiriel""."
Je serai bientôt de retour.	I will be back soon.
Je ne sais pas.	I don't know.
J'en perds mes mots.	I'm at a loss for words.
Ça ne va jamais finir.	This is never going to end.
Je ne sais simplement pas quoi dire...	I just don't know what to say.
C’était un méchant lapin.	That was an evil bunny.
J'étais dans les montagnes.	I was in the mountains.
Est-ce que c'est une photo récente ?	Is it a recent picture?
Je ne sais pas si j'ai le temps.	I don't know if I have the time.
Pour une certaine raison le microphone ne marchait pas tout à l'heure.	For some reason the microphone didn't work earlier.
Tout le monde doit apprendre par soi-même en fin de compte.	Everyone must learn on their own in the end.
L'éducation dans ce monde me déçoit.	Education in this world disappoints me.
L'apprentissage ne devrait pas être forcé. L'apprentissage devrait être encouragé.	Learning should not be forced. Learning should be encouraged.
C'est une tâche difficile, choisir ce qui est « bon » ou « mauvais », mais il faut le faire.	"It is a difficult task, choosing what is ""right"" or ""wrong"", but you have to do it."
Ça ne changera rien.	That won't change anything.
Ça coûtera 30 €.	This will cost €30.
Je gagne 100 € par jour.	I make €100 a day.
Il se peut que j'abandonne bientôt et fasse une sieste à la place.	I may give up soon and just nap instead.
C'est parce que tu ne veux pas être seul.	It's because you don't want to be alone.
Ça n'arrivera pas.	That won't happen.
Parfois il peut être un gars bizarre.	Sometimes he can be a strange guy.
Je ferai de mon mieux pour ne pas perturber tes révisions.	I'll do my best not to disturb your studying.
Je ne peux que me demander si c'est la même chose pour tous les autres.	I can only wonder if this is the same for everyone else.
Je suppose que c'est différent quand tu y penses à long terme.	I suppose it's different when you think about it over the long term.
Ne t'inquiète pas.	Don't worry.
Tu me manques.	I miss you.
Je les appellerai demain quand je reviendrai.	I'll call them tomorrow when I come back.
J'ai toujours plus apprécié les personnages mystérieux.	I always liked mysterious characters more.
Tu devrais dormir.	You should sleep.
Je leur ai dit de m'envoyer un autre ticket.	I told them to send me another ticket.
Tu es tellement impatiente avec moi.	You're so impatient with me.
Je ne peux pas vivre comme ça.	I can't live that kind of life.
Il fut un temps où je voulais être astrophysicien.	I once wanted to be an astrophysicist.
Je n'ai jamais aimé la biologie.	I never liked biology.
La dernière personne à qui j'ai raconté mon idée a pensé que j'étais cinglé.	The last person I told my idea to thought I was nuts.
Si le monde n'était pas dans l'état où il est maintenant, je pourrais faire confiance à n'importe qui.	If the world weren't in the shape it is now, I could trust anyone.
C'est malheureusement vrai.	It is unfortunately true.
